,CODMUNRES,Unnamed: 0,ano,homicidios,idade_media,negro_proporcao,codigo_mun_7,uf,pop_mun,pop_uf,tx_hom,tx_hom_pct
2505,351110,49886,2015,12,40.583333333333336,0.2,3511102.0,35.0,120691.0,45094866.0,9.942746352254932,20.151515151515152
811,231410,48192,2015,6,26.5,1.0,2314102.0,23.0,60030.0,9020460.0,9.995002498750626,20.303030303030305
2586,352230,49967,2015,16,42.375,0.25,3522307.0,35.0,160070.0,45094866.0,9.995626913225463,20.454545454545457
2977,411520,50358,2015,41,31.97560975609756,0.24390243902439024,4115200.0,41.0,406693.0,11320892.0,10.081314406690058,20.606060606060606
2534,351500,49915,2015,27,28.037037037037038,0.6296296296296297,3515004.0,35.0,267054.0,45094866.0,10.110314767799771,20.757575757575758
2003,313520,49384,2015,7,35.0,0.7142857142857143,3135209.0,31.0,68584.0,21119536.0,10.20646214860609,20.909090909090907
2394,330340,49775,2015,19,32.368421052631575,0.21052631578947367,3303401.0,33.0,185381.0,16718956.0,10.249162535534925,21.06060606060606
2565,351970,49946,2015,8,36.375,0.375,3519709.0,35.0,77566.0,45094866.0,10.313797282314416,21.21212121212121
2623,352710,50004,2015,8,37.25,0.25,3527108.0,35.0,77021.0,45094866.0,10.38677763207437,21.363636363636363
2724,354340,50105,2015,71,35.53521126760563,0.4,3543402.0,35.0,682302.0,45094866.0,10.405949271730114,21.515151515151516
2362,330080,49743,2015,6,43.0,0.3333333333333333,3300803.0,33.0,57048.0,16718956.0,10.517458981909972,21.666666666666668
100,130340,47481,2015,12,34.333333333333336,1.0,1303403.0,13.0,113832.0,4063614.0,10.541851149061776,21.818181818181817
3279,430350,50660,2015,7,26.714285714285715,0.42857142857142855,4303509.0,43.0,66215.0,11322895.0,10.571622744091218,21.96969696969697
2767,355030,50148,2015,1286,32.78538102643857,0.5415360501567398,3550308.0,35.0,12106920.0,45094866.0,10.62202442900424,22.12121212121212
2717,354260,50098,2015,6,51.16666666666666,0.3333333333333333,3542602.0,35.0,56430.0,45094866.0,10.63264221158958,22.272727272727273
3286,430450,50667,2015,6,57.33333333333334,0.0,4304507.0,43.0,56103.0,11322895.0,10.694615261215977,22.424242424242426
2743,354680,50124,2015,6,38.16666666666666,0.3333333333333333,3546801.0,35.0,56014.0,45094866.0,10.711607812332632,22.575757575757578
2459,350410,49840,2015,15,40.266666666666666,0.4,3504107.0,35.0,139683.0,45094866.0,10.73860097506497,22.727272727272727
2475,350650,49856,2015,13,32.30769230769231,0.3076923076923077,3506508.0,35.0,120692.0,45094866.0,10.771219302024988,22.87878787878788
2488,350850,49869,2015,10,25.7,0.5555555555555556,3508504.0,35.0,92587.0,45094866.0,10.800652359402509,23.03030303030303
2495,350960,49876,2015,9,38.444444444444436,0.4444444444444444,3509601.0,35.0,82520.0,45094866.0,10.906446921958313,23.18181818181818
2634,352930,50015,2015,9,40.444444444444436,0.4444444444444444,3529302.0,35.0,82307.0,45094866.0,10.934671413124036,23.333333333333332
1845,311120,49226,2015,6,35.333333333333336,0.5,3111200.0,31.0,54458.0,21119536.0,11.01766498953322,23.484848484848484
2786,355280,50167,2015,31,30.387096774193548,0.6129032258064516,3552809.0,35.0,279634.0,45094866.0,11.085919451854926,23.636363636363637
2556,351870,49937,2015,35,30.057142857142853,0.7647058823529411,3518701.0,35.0,315563.0,45094866.0,11.09128763511565,23.78787878787879
3439,431800,50820,2015,7,33.42857142857143,0.0,4318002.0,43.0,62808.0,11322895.0,11.145077060247102,23.939393939393938
626,220840,48007,2015,7,36.42857142857143,1.0,2208403.0,22.0,62733.0,3219257.0,11.158401479285224,24.09090909090909
2707,354100,50088,2015,35,32.57142857142857,0.6571428571428571,3541000.0,35.0,310024.0,45094866.0,11.289448558821253,24.242424242424242
2430,330600,49811,2015,9,38.333333333333336,0.5,3306008.0,33.0,79402.0,16718956.0,11.334727084960077,24.393939393939394
1981,313240,49362,2015,11,28.818181818181817,0.2727272727272727,3132404.0,31.0,97000.0,21119536.0,11.34020618556701,24.545454545454547
2109,314790,49490,2015,13,40.615384615384606,0.4615384615384616,3147907.0,31.0,114458.0,21119536.0,11.357877998916633,24.6969696969697
3609,510525,50990,2015,7,27.42857142857143,0.5714285714285714,5105259.0,51.0,61515.0,3344544.0,11.379338372754614,24.848484848484848
3246,421870,50627,2015,12,30.16666666666667,0.25,4218707.0,42.0,104457.0,7001161.0,11.487980700192423,25.0
3254,430040,50635,2015,9,26.11111111111111,0.3333333333333333,4300406.0,43.0,78003.0,11322895.0,11.538017768547364,25.151515151515152
1635,292150,49016,2015,6,32.166666666666664,1.0,2921500.0,29.0,51953.0,15344447.0,11.548899967278116,25.303030303030305
2521,351350,49902,2015,15,33.2,0.4666666666666667,3513504.0,35.0,128748.0,45094866.0,11.650666418119117,25.454545454545453
3152,420540,50533,2015,57,28.578947368421048,0.2631578947368421,4205407.0,42.0,485838.0,7001161.0,11.732305830338507,25.606060606060606
2726,354390,50107,2015,24,35.708333333333336,0.3333333333333333,3543907.0,35.0,202952.0,45094866.0,11.82545626552091,25.757575757575758
1948,312710,49329,2015,7,24.714285714285715,0.8571428571428571,3127107.0,31.0,58770.0,21119536.0,11.910838863365663,25.90909090909091
2564,351960,49945,2015,7,38.285714285714285,0.0,3519600.0,35.0,58715.0,45094866.0,11.921996082772717,26.060606060606062
3182,420930,50563,2015,19,35.473684210526315,0.2777777777777778,4209300.0,42.0,158508.0,7001161.0,11.986776692659046,26.212121212121215
2687,353760,50068,2015,8,38.75,0.625,3537602.0,35.0,66572.0,45094866.0,12.017064231208316,26.36363636363636
2658,353340,50039,2015,7,33.42857142857143,0.5714285714285714,3533403.0,35.0,58227.0,45094866.0,12.021914232229035,26.515151515151516
118,140010,47499,2015,40,33.825,0.9743589743589745,1400100.0,14.0,332020.0,522636.0,12.047467020059033,26.666666666666668
2585,352220,49966,2015,21,30.66666666666667,0.4761904761904762,3522208.0,35.0,170927.0,45094866.0,12.28594663218801,26.81818181818182
2738,354580,50119,2015,24,38.875,0.25,3545803.0,35.0,191889.0,45094866.0,12.507230742773165,26.969696969696972
3232,421660,50613,2015,30,30.266666666666666,0.27586206896551724,4216602.0,42.0,239718.0,7001161.0,12.514704778114284,27.121212121212125
