;CODMUNRES;ano;homicidios;idade_media;negro_proporcao
54383;2312908;1996;18;32,833333333333336;
54384;2313005;1996;1;38,0;
54385;2313104;1996;2;36,0;
54386;2313203;1996;3;35,0;
54387;2313302;1996;5;42,8;
54388;2313401;1996;2;28,0;
54389;2313559;1996;1;62,0;
54390;2313757;1996;2;22,5;
54391;2313955;1996;2;60,0;
54392;2314102;1996;3;32,666666666666664;
54393;2400109;1996;1;42,0;
54394;2400208;1996;4;37,5;
54395;2400406;1996;1;33,0;
54396;2400604;1996;1;66,0;
54397;2400703;1996;1;41,0;
54398;2400901;1996;1;22,0;
54399;2401008;1996;2;26,0;
54400;2401107;1996;1;20,0;
54401;2401206;1996;1;42,0;
54402;2401305;1996;2;48,0;
54403;2401453;1996;2;32,0;
54404;2401800;1996;1;32,0;
54405;2402006;1996;6;35,333333333333336;
54406;2402303;1996;2;22,5;
54407;2402600;1996;3;30,333333333333332;
54408;2403103;1996;1;65,0;
54409;2403251;1996;12;27,833333333333332;
54410;2403400;1996;1;44,0;
54411;2403608;1996;3;38,333333333333336;
54412;2404309;1996;2;26,5;
54413;2404507;1996;1;43,0;
54414;2404606;1996;1;51,0;
54415;2405009;1996;2;48,0;
54416;2405306;1996;2;39,5;
54417;2405405;1996;1;47,0;
54418;2405603;1996;1;36,0;
54419;2405702;1996;1;24,0;
54420;2405801;1996;2;30,5;
54421;2405900;1996;1;36,0;
54422;2406106;1996;1;38,0;
54423;2406304;1996;1;19,0;
54424;2406809;1996;1;11,0;
54425;2407005;1996;3;23,666666666666668;
54426;2407104;1996;7;36,857142857142854;
54427;2407302;1996;1;26,0;
54428;2407401;1996;1;38,0;
54429;2407500;1996;1;34,0;
54430;2407609;1996;1;41,0;
54431;2408003;1996;20;33,2;
54432;2408102;1996;95;29,96842105263158;
54433;2408904;1996;3;28,0;
54434;2409100;1996;2;22,0;
54435;2409407;1996;4;26,25;
54436;2409803;1996;5;32,6;
54437;2409902;1996;1;37,0;
54438;2410108;1996;1;37,0;
54439;2411007;1996;1;69,0;
54440;2411502;1996;3;33,666666666666664;
54441;2411601;1996;1;49,0;
54442;2411809;1996;1;31,0;
54443;2412005;1996;5;26,6;
54444;2412104;1996;2;38,0;
54445;2413359;1996;1;59,0;
54446;2413409;1996;1;3,0;
54447;2413805;1996;2;26,0;
54448;2414001;1996;2;23,5;
54449;2414506;1996;1;53,0;
54450;2414605;1996;2;40,0;
54451;2414704;1996;1;22,0;
54452;2414902;1996;1;22,0;
54453;2500000;1996;5;20,2;
54454;2500106;1996;2;45,0;
54455;2500304;1996;3;47,666666666666664;
54456;2500403;1996;5;37,8;
54457;2500502;1996;2;26,0;
54458;2500601;1996;3;29,0;
54459;2500700;1996;1;77,0;
54460;2500809;1996;4;30,75;
54461;2501005;1996;5;34,2;
54462;2501104;1996;4;33,5;
54463;2501302;1996;1;33,0;
54464;2501500;1996;4;36,25;
54465;2501609;1996;4;40,25;
54466;2501807;1996;27;23,51851851851852;
54467;2502300;1996;1;33,0;
54468;2502508;1996;4;36,75;
54469;2502706;1996;1;72,0;
54470;2502805;1996;2;28,0;
54471;2502904;1996;3;25,333333333333332;
54472;2503001;1996;5;35,8;
54473;2503100;1996;1;33,0;
54474;2503209;1996;6;34,5;
54475;2503605;1996;1;26,0;
54476;2503704;1996;20;35,65;
54477;2503902;1996;2;29,0;
54478;2504009;1996;93;36,10752688172043;
54479;2504306;1996;7;29,142857142857142;
54480;2504603;1996;3;29,333333333333332;
54481;2504801;1996;2;37,5;
54482;2504900;1996;2;56,0;
54483;2505105;1996;2;43,5;
54484;2505907;1996;1;15,0;
54485;2506004;1996;8;30,625;
54486;2506103;1996;1;44,0;
54487;2506202;1996;1;56,0;
54488;2506608;1996;1;20,0;
54489;2506905;1996;11;33,63636363636363;
54490;2507101;1996;1;17,0;
54491;2507200;1996;1;85,0;
54492;2507408;1996;2;33,0;
54493;2507507;1996;182;29,417582417582416;
54494;2507705;1996;2;31,5;
54495;2507903;1996;1;28,0;
54496;2508000;1996;1;19,0;
54497;2508109;1996;1;13,0;
54498;2508307;1996;6;35,166666666666664;
54499;2508406;1996;1;46,0;
54500;2508901;1996;3;32,666666666666664;
54501;2509008;1996;2;23,5;
54502;2509107;1996;3;48,666666666666664;
54503;2509404;1996;1;15,0;
54504;2509701;1996;1;61,0;
54505;2509909;1996;1;35,0;
54506;2510808;1996;18;36,611111111111114;
54507;2510907;1996;1;29,0;
54508;2511004;1996;1;43,0;
54509;2511103;1996;1;23,0;
54510;2511202;1996;7;36,714285714285715;
54511;2511400;1996;2;25,5;
54512;2511509;1996;1;76,0;
54513;2511905;1996;2;53,0;
54514;2512002;1996;3;40,666666666666664;
54515;2512101;1996;3;23,0;
54516;2512309;1996;3;26,666666666666668;
54517;2512408;1996;3;39,0;
54518;2512507;1996;4;39,75;
54519;2512606;1996;1;36,0;
54520;2512705;1996;1;25,0;
54521;2512804;1996;1;32,0;
54522;2512903;1996;7;29,428571428571427;
