;remuneracao_media;numero_empregados;estado;ano
0;3.685668280599041;8881;PA;2001
0;2.908469169422316;10282;PA;2002
0;2.638928571428729;10360;PA;2003
0;2.9951529602304916;11114;PA;2004
0;2.517295129897243;11971;PA;2005
0;2.2525694800909166;13637;PA;2006
0;2.032516956049906;14744;PA;2007
0;2.227725638153638;16963;PA;2008
0;2.090562168935458;17557;PA;2009
0;1.999678248496809;21787;PA;2010
0;2.0667502268061204;20943;PA;2011
0;2.1266122080374417;24361;PA;2012
0;2.5386570168301144;23351;PA;2013
0;2.4887886258341254;23527;PA;2014
0;2.463766118086158;23576;PA;2015
0;;0;PB;1995
0;2.18;1;PB;1996
0;16.565;2;PB;1997
0;3.050221088435377;1176;PB;1998
0;2.9994013422818866;3725;PB;1999
0;2.763177056050307;3818;PB;2000
0;2.844116638078914;3498;PB;2001
0;2.912719845194602;4651;PB;2002
0;2.355605347858404;4039;PB;2003
0;2.1860861372813205;3715;PB;2004
0;2.0686359026369208;3944;PB;2005
0;1.9452051346589412;3973;PB;2006
0;2.0681228813559356;4720;PB;2007
0;1.819282190036589;6283;PB;2008
0;1.468885896527274;7055;PB;2009
0;1.3762612208258689;8912;PB;2010
0;1.3682528452783538;9753;PB;2011
0;1.3626176199262083;13008;PB;2012
0;1.4756417090030702;12007;PB;2013
0;1.5248165476483508;12183;PB;2014
0;1.5343475499092418;11020;PB;2015
0;;0;PE;1995
0;2.6473387096774186;124;PE;1996
0;3.3911210762331825;223;PE;1997
0;3.462550994711667;7942;PE;1998
0;3.351410779235095;9073;PE;1999
0;3.110696738974277;13922;PE;2000
0;3.8481983041406065;16157;PE;2001
0;3.245782736429798;14296;PE;2002
0;2.8932781612277614;14923;PE;2003
0;2.8455926764818527;15894;PE;2004
0;2.5557256836592;16419;PE;2005
0;2.3483932999063484;18149;PE;2006
0;2.1560149732619593;18700;PE;2007
0;2.0095644405812996;20709;PE;2008
0;1.886460964912251;22800;PE;2009
0;1.8361328834674537;26971;PE;2010
0;1.8737210366926917;28398;PE;2011
0;2.0287490618633317;37308;PE;2012
0;1.844005785147638;34917;PE;2013
0;1.8455668844077866;35210;PE;2014
0;1.8268847251227736;33997;PE;2015
0;2.719807692307692;624;PI;1995
0;;0;PI;1996
0;3.209398986241854;1381;PI;1997
0;3.264578947368419;190;PI;1998
0;2.9111604095563206;1465;PI;1999
0;3.053282023089605;1819;PI;2000
0;2.953570190641247;1731;PI;2001
0;2.4882625272331205;1836;PI;2002
0;2.4837990430621724;2090;PI;2003
0;2.5137549019607626;2040;PI;2004
0;2.4450680272108887;2352;PI;2005
0;3.861491891891877;2775;PI;2006
0;2.0491009239516695;2814;PI;2007
0;1.9625620594545001;3263;PI;2008
0;1.9526500252143224;3966;PI;2009
0;1.94001937984495;4644;PI;2010
0;2.0625105728566027;5202;PI;2011
0;1.9884442169907834;5862;PI;2012
0;2.1136777493606287;5865;PI;2013
0;2.3490294763248665;6378;PI;2014
0;2.3753094947852964;7383;PI;2015
0;4.262513661202181;183;PR;1995
0;5.10399277326109;2214;PR;1996
0;4.8181966101694895;7375;PR;1997
0;4.75401592094428;10929;PR;1998
0;4.545529298866473;16673;PR;1999
0;4.438618128563173;19119;PR;2000
0;3.9630436091734857;19927;PR;2001
0;3.7577334222560625;20992;PR;2002
0;3.370496685815293;22630;PR;2003
0;3.3352312361087084;23396;PR;2004
0;3.2927760870471516;23987;PR;2005
0;2.9148268625393836;23825;PR;2006
0;2.715706702828392;25810;PR;2007
0;2.651596536328012;29564;PR;2008
0;2.53938688018153;31723;PR;2009
0;2.4038333133540766;33368;PR;2010
0;2.5477409191044385;39038;PR;2011
0;2.398879771035026;44723;PR;2012
0;2.518590334917155;43145;PR;2013
0;2.5880443589453743;44185;PR;2014
0;2.5219231225813186;42119;PR;2015
0;;0;RJ;1995
0;5.552191780821921;219;RJ;1996
0;4.899297963558414;7464;RJ;1997
0;4.290867742094452;40542;RJ;1998
0;4.239162956818834;59077;RJ;1999
0;3.691213135865971;54355;RJ;2000
0;3.7354807066715177;59943;RJ;2001
0;3.3294753424427115;59353;RJ;2002
0;3.1100052491659316;59057;RJ;2003
0;2.970416896695895;59775;RJ;2004
0;2.8757869723233154;60809;RJ;2005
0;2.5517817541995975;60244;RJ;2006
0;2.4159396094598833;63553;RJ;2007
0;2.320029727545772;69296;RJ;2008
0;2.234719323940625;77153;RJ;2009
0;2.1215472764511434;77142;RJ;2010
0;2.1813851326833413;82678;RJ;2011
0;2.063611907899911;90293;RJ;2012
0;2.1877156775722426;94632;RJ;2013
0;2.281319000156637;95815;RJ;2014
0;2.356516713139194;88583;RJ;2015
0;;0;RN;1995
0;3.6968421052631575;57;RN;1996
0;3.9286666666666665;15;RN;1997
0;3.4668181818181827;924;RN;1998
0;3.343068565005617;2669;RN;1999
0;3.1687623762376247;2626;RN;2000
0;2.9214095744680892;2632;RN;2001
0;2.787999356706317;3109;RN;2002
0;2.780244274809174;3275;RN;2003
0;2.537729014280744;2871;RN;2004
0;2.2821844181459516;4056;RN;2005
0;2.103444196428571;4480;RN;2006
0;1.9201627670396986;5898;RN;2007
0;1.860546974635118;7057;RN;2008
0;1.7573116350589346;7804;RN;2009
0;1.7025549292534203;8693;RN;2010
0;1.6720169509709069;9321;RN;2011
0;1.6395159896283493;11570;RN;2012
0;1.8024720037019966;10805;RN;2013
0;2.1490427886388836;10844;RN;2014
0;2.1310029740539487;9751;RN;2015
0;2.9061650233523615;1927;RO;1995
0;2.77;10;RO;1996
0;3.303213414634158;1640;RO;1997
0;4.066937984496126;258;RO;1998
0;3.017846229669787;2029;RO;1999
0;3.377639105564231;1923;RO;2000
0;3.2313391304347903;1725;RO;2001
0;2.8641087231352746;2373;RO;2002
0;2.6547456514604626;3047;RO;2003
0;2.2549534085335994;4078;RO;2004
0;1.9976941391941054;5460;RO;2005
0;1.9060153084196403;4442;RO;2006
0;1.8293220696937587;4735;RO;2007
0;1.8212426729191113;5971;RO;2008
0;1.724607194244615;6950;RO;2009
0;1.8048572187541436;7529;RO;2010
0;1.8737504664759232;8039;RO;2011
0;1.7712378854625515;9080;RO;2012
0;2.0292796325341755;8926;RO;2013
0;2.1104579959514216;7904;RO;2014
0;2.099663912617278;7141;RO;2015
0;2.5892557510148864;739;RR;1995
0;3.036258790436007;711;RR;1996
0;3.283220338983046;767;RR;1997
0;2.8257015985790437;563;RR;1998
0;3.0951937984496127;774;RR;1999
0;2.679896193771626;578;RR;2000
0;2.7176666666666702;750;RR;2001
0;2.4059535452322742;818;RR;2002
0;2.1450236966824607;844;RR;2003
0;1.897546961325961;905;RR;2004
0;1.7612052505966604;838;RR;2005
0;1.4966082603254076;799;RR;2006
0;1.5052855543113115;893;RR;2007
0;1.6273752495009972;1002;RR;2008
0;1.4866599999999985;1000;RR;2009
0;1.4877571669477259;1186;RR;2010
0;1.4789057750759889;1316;RR;2011
0;1.3317685733070364;1521;RR;2012
0;1.5116404358353508;1652;RR;2013
0;1.7862818003913905;1533;RR;2014
0;1.8835554450522192;2011;RR;2015
0;;0;RS;1995
0;4.679670731707311;820;RS;1996
0;4.673912485563969;7793;RS;1997
0;4.544378504672889;14980;RS;1998
0;4.339781357882616;22594;RS;1999
0;4.0100393522021935;26428;RS;2000
0;3.701229505243076;27751;RS;2001
0;3.428829216708176;26478;RS;2002
0;3.256641796557524;27074;RS;2003
0;3.121335144927531;27600;RS;2004
0;3.0034329158648676;31699;RS;2005
0;2.5445111296026894;38456;RS;2006
0;2.328551898338621;38402;RS;2007
0;2.2028672548002546;48175;RS;2008
0;2.145404348789877;49623;RS;2009
0;2.023473904200325;53591;RS;2010
0;2.0739118239231735;58111;RS;2011
0;1.9908665348331769;61694;RS;2012
0;2.093466308555163;63295;RS;2013
0;2.1429544796432185;69068;RS;2014
0;2.1261231297684495;60554;RS;2015
0;5.98;1;SC;1995
0;4.000708283313324;1666;SC;1996
0;3.9619204942250885;3723;SC;1997
0;3.6998889521640193;10536;SC;1998
0;3.674995172669888;13465;SC;1999
0;3.527382373264674;15919;SC;2000
0;3.906469428007874;17745;SC;2001
0;2.9468913335399343;19362;SC;2002
0;2.7901098028841265;15118;SC;2003
0;2.737195803555124;21828;SC;2004
0;2.5941770330878704;23634;SC;2005
0;2.403635301654317;26537;SC;2006
0;2.3077676914250937;29633;SC;2007
0;2.2462991012824256;29709;SC;2008
0;2.1578955944099856;31914;SC;2009
0;2.0557524033745223;35679;SC;2010
0;2.197033706736362;39814;SC;2011
0;2.0696445092632327;43883;SC;2012
0;2.249485880627123;43628;SC;2013
0;2.289415323936106;44623;SC;2014
0;2.317769577492692;40378;SC;2015
0;2.231188242651665;3198;SE;1995
0;1.9434354485776482;3656;SE;1996
0;1.78;3;SE;1997
0;2.523201413427563;1415;SE;1998
0;2.279529284944283;2783;SE;1999
0;2.2575420168067284;3332;SE;2000
0;1.9846927871772244;3369;SE;2001
0;1.9707308584686667;3448;SE;2002
0;1.7815871774824186;5116;SE;2003
0;1.8363842454774377;4367;SE;2004
0;1.8418003871800337;4649;SE;2005
0;1.6886963595688371;4917;SE;2006
0;1.595624553890087;5604;SE;2007
0;1.5885156492097974;6454;SE;2008
0;1.5458569650020786;7229;SE;2009
0;1.5221227154046888;7660;SE;2010
0;1.5408120035304498;7931;SE;2011
0;1.573132988275065;9467;SE;2012
0;1.6212122289370727;8439;SE;2013
0;1.8574545676302037;8199;SE;2014
0;1.8497798556041911;8449;SE;2015
0;;0;SP;1995
0;5.364748432482105;13078;SP;1996
0;5.71607379670809;38457;SP;1997
0;5.252920840276829;106822;SP;1998
0;5.1983521453630255;126249;SP;1999
0;4.743631407320371;136465;SP;2000
0;3.043267326732674;101;TO;1995
0;3.28865671641791;67;TO;1996
0;;0;TO;1997
0;2.2518000000000007;50;TO;1998
0;3.3407583774250456;567;TO;1999
0;3.324430176565008;623;TO;2000
0;3.168047808764943;753;TO;2001
0;3.106157575757577;825;TO;2002
0;2.547260638297838;1128;TO;2003
0;2.5917103762827622;877;TO;2004
0;2.749066427289049;1114;TO;2005
0;2.1797355769230733;1248;TO;2006
0;2.080080591000679;1489;TO;2007
0;1.9446272189349174;1690;TO;2008
0;1.8363455303381213;2159;TO;2009
0;1.761742252456547;2646;TO;2010
0;1.8318794556059619;3086;TO;2011
0;1.9776015989340374;3002;TO;2012
0;2.188257550614009;3013;TO;2013
0;2.340444730905578;3103;TO;2014
