;UF;ano;homicidios;idade_media;negro_proporcao
347;50;2012;661;34,065052950075646;0,6615620214395099
348;51;2012;999;31,802802802802802;0,7581632653061224
349;52;2012;2573;30,288767975126312;0,7809637594583831
350;53;2012;883;29,261608154020387;0,895096921322691
27;11;2013;461;33,64425162689805;0,6785714285714286
28;12;2013;199;30,266331658291456;0,9065934065934066
29;13;2013;1142;30,07443082311734;0,8975044563279857
30;14;2013;133;34,48872180451128;0,8372093023255814
31;15;2013;3122;30,385009609224856;0,9166121648136036
32;16;2013;210;27,20952380952381;0,868421052631579
33;17;2013;323;33,8390092879257;0,8006430868167203
34;21;2013;2031;30,844903988183162;0,9054122407688416
35;22;2013;574;30,893728222996515;0,8766355140186916
36;23;2013;4324;28,81891766882516;0,8946705832983634
37;24;2013;1373;28,980335032774946;0,8492822966507177
38;25;2013;1509;29,487740225314777;0,9339762611275965
39;26;2013;2976;30,385416666666668;0,9268630849220104
40;27;2013;2084;28,480326295585414;0,9468455042225534
41;28;2013;953;30,421825813221407;0,9125395152792413
42;29;2013;5248;29,207888719512194;0,9333595439355219
43;31;2013;4467;30,213790015670472;0,729470802919708
44;32;2013;1562;28,31370038412292;0,8492967180174146
45;33;2013;4385;30,383124287343215;0,6958834412580943
46;35;2013;5148;33,45027195027195;0,45126993502658
47;41;2013;2748;30,911208151382823;0,20703554415536826
48;42;2013;739;33,35453315290934;0,15384615384615385
49;43;2013;2282;33,033742331288344;0,21578243423985732
50;50;2013;615;33,66341463414634;0,6356209150326797
51;51;2013;1091;32,599450045829514;0,7623485554520038
52;52;2013;2787;30,54897739504844;0,7784277879341864
53;53;2013;786;28,673027989821882;0,8985879332477535
351;11;2014;536;34,72761194029851;0,7369402985074627
352;12;2014;208;31,307692307692307;0,7980769230769231
353;13;2014;1199;30,343619683069225;0,8990825688073395
354;14;2014;57;36,43859649122807;0,8070175438596491
355;15;2014;3106;30,220862846104314;0,9156471345782357
356;16;2014;246;27,89430894308943;0,9024390243902439
357;17;2014;350;30,84285714285714;0,7914285714285715
358;21;2014;2324;30,44922547332186;0,8898450946643718
359;22;2014;705;30,581560283687942;0,8184397163120567
