uf,codigo_ibge,nome_mun,valor
BA,2930758,SITIO DO MATO,22134658.0
BA,2930766,SITIO DO QUINTO,22793780.0
BA,2930774,SOBRADINHO,41023114.0
BA,2930808,SOUTO SOARES,29287643.0
BA,2930907,TABOCAS DO BREJO VELHO,18066722.0
BA,2931004,TANHACU,39808663.0
BA,2931053,TANQUE NOVO,28209635.0
BA,2931103,TANQUINHO,15233508.0
BA,2931202,TAPEROA,34432310.0
BA,2931301,TAPIRAMUTA,23808365.0
BA,2931350,TEIXEIRA DE FREITAS,252275641.0
BA,2931400,TEODORO SAMPAIO,13993612.0
BA,2931509,TEOFILANDIA,37915431.0
BA,2931608,TEOLANDIA,29525373.0
BA,2931707,TERRA NOVA,23597508.0
BA,2931806,TREMEDAL,27854899.0
BA,2931905,TUCANO,91794358.0
BA,2932002,UAUA,47770536.0
BA,2932101,UBAIRA,33879300.0
BA,2932200,UBAITABA,32349107.0
BA,2932309,UBATA,29565425.0
BA,2932408,UIBAI,25436985.0
BA,2932457,UMBURANAS,24509782.0
BA,2932507,UNA,35738859.0
BA,2932606,URANDI,25040067.0
BA,2932705,URUCUCA,46393881.0
BA,2932804,UTINGA,32664871.0
BA,2932903,VALENCA,157498564.0
BA,2933000,VALENTE,40616949.0
BA,2933059,VARZEA DA ROCA,24223636.0
BA,2933109,VARZEA DO POCO,13676636.0
BA,2933158,VARZEA NOVA,25425785.0
BA,2933174,VARZEDO,19213497.0
BA,2933208,VERA CRUZ,86364900.0
BA,2933257,VEREDA,12631284.0
BA,2933307,VITORIA DA CONQUISTA,568833776.0
BA,2933406,WAGNER,14578277.0
BA,2933455,WANDERLEY,22546166.0
BA,2933505,WENCESLAU GUIMARAES,41727161.0
