,uf,nome_mun,quant,codigo_ibge,valor
4732,SE,GARARU,1.0,2802403,20198102.0
4733,SE,GENERAL MAYNARD,1.0,2802502,4341233.0
4734,SE,GRACHO CARDOSO,1.0,2802601,11621045.0
4735,SE,ILHA DAS FLORES,1.0,2802700,16191324.0
4736,SE,INDIAROBA,1.0,2802809,27550752.0
4737,SE,ITABAIANA,7.0,2802908,172413758.0
4738,SE,ITABAIANINHA,2.0,2803005,83344349.0
4739,SE,ITABI,1.0,2803104,8181294.0
4740,SE,ITAPORANGA D'AJUDA,0.0,2803203,63860195.0
4741,SE,JAPARATUBA,1.0,2803302,30576835.0
4742,SE,JAPOATA,1.0,2803401,28939570.0
4743,SE,LAGARTO,7.0,2803500,189019653.0
4744,SE,LARANJEIRAS,1.0,2803609,42324878.0
4745,SE,MACAMBIRA,1.0,2803708,13967047.0
4746,SE,MALHADA DOS BOIS,1.0,2803807,6827947.0
4747,SE,MALHADOR,1.0,2803906,24265155.0
4748,SE,MARUIM,1.0,2804003,28971908.0
4749,SE,MOITA BONITA,1.0,2804102,19794215.0
4750,SE,MONTE ALEGRE DE SERGIPE,1.0,2804201,28886871.0
4751,SE,MURIBECA,1.0,2804300,14003343.0
4752,SE,NEOPOLIS,1.0,2804409,29619259.0
4753,SE,NOSSA SENHORA APARECIDA,1.0,2804458,15597629.0
4754,SE,NOSSA SENHORA DA GLORIA,2.0,2804508,72327229.0
4755,SE,NOSSA SENHORA DAS DORES,1.0,2804607,49559005.0
4756,SE,NOSSA SENHORA DE LOURDES,1.0,2804706,11226899.0
4757,SE,NOSSA SENHORA DO SOCORRO,5.0,2804805,320099877.0
4758,SE,PACATUBA,1.0,2804904,23936244.0
4759,SE,PEDRA MOLE,1.0,2805000,5615046.0
4760,SE,PEDRINHAS,1.0,2805109,15637697.0
4761,SE,PINHAO,1.0,2805208,10836730.0
4762,SE,PIRAMBU,1.0,2805307,15754781.0
4763,SE,POCO REDONDO,1.0,2805406,58610332.0
4764,SE,POCO VERDE,1.0,2805505,39941371.0
4765,SE,PORTO DA FOLHA,1.0,2805604,50960828.0
4766,SE,PROPRIA,2.0,2805703,45346629.0
4767,SE,RIACHAO DO DANTAS,1.0,2805802,35357250.0
4768,SE,RIACHUELO,1.0,2805901,16502237.0
4769,SE,RIBEIROPOLIS,1.0,2806008,30016256.0
4770,SE,ROSARIO DO CATETE,1.0,2806107,17639767.0
4771,SE,SALGADO,1.0,2806206,37663428.0
4772,SE,SANTA LUZIA DO ITANHY,0.0,2806305,24250575.0
4773,SE,SANTANA DO SAO FRANCISCO,1.0,2806404,13705861.0
4774,SE,SANTA ROSA DE LIMA,1.0,2806503,6944045.0
4775,SE,SANTO AMARO DAS BROTAS,1.0,2806602,23533895.0
4776,SE,SAO CRISTOVAO,3.0,2806701,147366292.0
4777,SE,SAO DOMINGOS,1.0,2806800,19772813.0
4778,SE,SAO FRANCISCO,1.0,2806909,6005821.0
4779,SE,SAO MIGUEL DO ALEIXO,1.0,2807006,7131042.0
4780,SE,SIMAO DIAS,3.0,2807105,80469835.0
4781,SE,SIRIRI,1.0,2807204,14860752.0
4782,SE,TELHA,1.0,2807303,6492695.0
4783,SE,TOBIAS BARRETO,2.0,2807402,95225091.0
4784,SE,TOMAR DO GERU,1.0,2807501,23564962.0
4785,SE,UMBAUBA,1.0,2807600,47098016.0
4786,SP,ADAMANTINA,2.0,3500105,32069974.0
4787,SP,ADOLFO,1.0,3500204,5570093.0
4788,SP,AGUAI,2.0,3500303,40939824.0
4789,SP,AGUAS DA PRATA,1.0,3500402,8943027.0
4790,SP,AGUAS DE LINDOIA,1.0,3500501,22506652.0
4791,SP,AGUAS DE SANTA BARBARA,1.0,3500550,7854981.0
4792,SP,AGUAS DE SAO PEDRO,1.0,3500600,4072939.0
4793,SP,AGUDOS,2.0,3500709,41550915.0
