HS - Combined  Product Code,HS - Combined  Product Description,ISIC Revision 3 Product Code,ISIC Revision 3 Product Description
380400,"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulphonates, but excluding tall oil of heading 38.03.",9999,Goods not elsewhere classified
380510,"Gum, wood or sulphate turpentine oils",2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
380520,(-2006) Pine oil,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
380590,Other,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
380610,Rosin and resin acids,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
380620,"Salts of rosin, of resin acids or of derivatives of rosin or resin acids, other than salts of rosin adducts",2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
380630,Ester gums,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
380690,Other,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
380700,"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch.",2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
380810,(-2006) Insecticides,2421,Manufacture of pesticides and other agro-chemical products
380820,(-2006) Fungicides,2421,Manufacture of pesticides and other agro-chemical products
380830,"(-2006) Herbicides, antisprouting products and plantgrowth regulators",2421,Manufacture of pesticides and other agro-chemical products
380840,(-2006) Disinfectants,2421,Manufacture of pesticides and other agro-chemical products
380890,(-2006) Other,2421,Manufacture of pesticides and other agro-chemical products
380910,With a basis of amylaceous substances,2429,Manufacture of other chemical products n.e.c.
380991,Of a kind used in the textile or like industries,2429,Manufacture of other chemical products n.e.c.
380992,Of a kind used in the paper or like industries,2429,Manufacture of other chemical products n.e.c.
380993,Of a kind used in the leather or like industries,2429,Manufacture of other chemical products n.e.c.
381010,"Pickling preparations for metal surfaces; soldering, brazing or welding powders and pastes consisting of metal and other materials",2429,Manufacture of other chemical products n.e.c.
381090,Other,2429,Manufacture of other chemical products n.e.c.
381111,Based on lead compounds,2429,Manufacture of other chemical products n.e.c.
381119,Other,2429,Manufacture of other chemical products n.e.c.
381121,Containing petroleum oils or oils obtained from bituminous minerals,2429,Manufacture of other chemical products n.e.c.
381129,Other,2429,Manufacture of other chemical products n.e.c.
381190,Other,2429,Manufacture of other chemical products n.e.c.
381210,Prepared rubber accelerators,2429,Manufacture of other chemical products n.e.c.
381220,Compound plasticisers for rubber or plastics,2429,Manufacture of other chemical products n.e.c.
381230,Antioxidising preparations and other compound stabilisers for rubber or plastics,2429,Manufacture of other chemical products n.e.c.
381300,Preparations and charges for fireextinguishers; charged fireextinguishing grenades.,2429,Manufacture of other chemical products n.e.c.
381400,"Organic composite solvents and thinners, not elsewhere specified or included; prepared paint or varnish removers.",2422,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
381511,With nickel or nickel compounds as the active substance,2429,Manufacture of other chemical products n.e.c.
381512,With precious metal or precious metal compounds as the active substance,2429,Manufacture of other chemical products n.e.c.
381519,Other,2429,Manufacture of other chemical products n.e.c.
381590,Other,2429,Manufacture of other chemical products n.e.c.
381600,"Refractory cements, mortars, concretes and similar compositions, other than products of heading 38.01.",2692,Manufacture of refractory ceramic products
381700,"(2002-) Mixed alkylbenzenes and mixed alkylnaphthalenes, other than those of heading 27.07 or 29.02.",2429,Manufacture of other chemical products n.e.c.
381710,(-2001) Mixed alkylbenzenes,2429,Manufacture of other chemical products n.e.c.
381720,(-2001) Mixed alkylnaphthalenes,2429,Manufacture of other chemical products n.e.c.
381800,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics.",2429,Manufacture of other chemical products n.e.c.
381900,"Hydraulic brake fluids and other prepared liquids for hydraulic transmission, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals.",2429,Manufacture of other chemical products n.e.c.
382000,Antifreezing preparations and prepared deicing fluids.,2429,Manufacture of other chemical products n.e.c.
382100,Prepared culture media for development of microorganisms.,2429,Manufacture of other chemical products n.e.c.
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06; certified reference materials.",2429,Manufacture of other chemical products n.e.c.
382310,(-1995) Prepared binders for foundry moulds or cor,2429,Manufacture of other chemical products n.e.c.
382311,(1996-) Stearic acid,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
382312,(1996-) Oleic acid,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
382313,(1996-) Tall oil fatty acids,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
382319,(1996-) Other,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
382320,"(-1995) Naphthenic acids, their water-insoluble sa",2429,Manufacture of other chemical products n.e.c.
382330,(-1995) Non-agglomerated metal carbides mixed toge,2429,Manufacture of other chemical products n.e.c.
382340,"(-1995) Prepared additives for cements, mortars or",2429,Manufacture of other chemical products n.e.c.
382350,(-1995) Non-refractory mortars and concretes,2695,"Manufacture of articles of concrete, cement and plaster"
382360,(-1995) Sorbitol (excl. that of 2905.44),2429,Manufacture of other chemical products n.e.c.
382370,(1996-) Industrial fatty alcohols,2411,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
382390,(-1995) Chemical products and residual products of,2429,Manufacture of other chemical products n.e.c.
382410,(1996-) Prepared binders for foundry moulds or cores,2429,Manufacture of other chemical products n.e.c.
382420,"(1996-2006) Naphthenic acids, their waterinsoluble salts and their esters",2429,Manufacture of other chemical products n.e.c.
382430,(1996-) Nonagglomerated metal carbides mixed together or with metallic binders,2429,Manufacture of other chemical products n.e.c.
382440,"(1996-) Prepared additives for cements, mortars or concretes",2429,Manufacture of other chemical products n.e.c.
382450,(1996-) Nonrefractory mortars and concretes,2695,"Manufacture of articles of concrete, cement and plaster"
382460,(1996-) Sorbitol other than that of subheading 2905.44,2429,Manufacture of other chemical products n.e.c.
382471,(1996-) Containing acyclic hydrocarbons perhalogenated only with fluorine and chlorine,2429,Manufacture of other chemical products n.e.c.
382479,(1996-) Other,2429,Manufacture of other chemical products n.e.c.
382490,(1996-) Other,2429,Manufacture of other chemical products n.e.c.
