"CO_NBM";"CO_NCM"
"8432109900";"84321000"
"8432800200";"84328000"
"8433200000";"84332010"
"9209910000";"92099100"
"9209920100";"92099200"
"9301000100";"93010000"
"9302000100";"93020000"
"9302000200";"93020000"
"9303909900";"93039000"
"9305100000";"93051000"
"9305909999";"93059090"
"9306300000";"93063000"
"9401200100";"94012000"
"9401400300";"94014090"
"9401409900";"94014090"
"9401509900";"94015000"
"9401690100";"94016900"
"9401710201";"94017100"
"9401790202";"94017900"
"9401800301";"94018000"
"9401800402";"94018000"
"9401809902";"94018000"
"8525100102";"85251010"
"8525200104";"85252079"
"8526100200";"85261000"
"8527110200";"85271390"
"8527199900";"85271990"
"8527310100";"85273190"
"8527310200";"85273190"
"8527310300";"85273110"
"8529900199";"85299019"
"8530900000";"85309000"
"8531109900";"85311090"
"8532220000";"85322200"
"8532240000";"85322490"
"8533219900";"85332190"
"9608399900";"96083900"
"5304909902";"53049000"
"5308909999";"53089000"
"5309290101";"53092900"
"5309290102";"53092900"
"5310900199";"53109000"
"5311000101";"53110000"
"7103990201";"71039900"
"7103990303";"71039900"
"7103990307";"71039900"
"7103990310";"71039900"
"8433599900";"84335990"
"8433900000";"84339090"
"8436210000";"84362100"
"8436910000";"84369100"
"8438200201";"84382090"
