RTA Name,Start_Year,End_Implementation_Year_G,Expanded_Signatories
Protocol on Trade Negotiations (PTN),2073.0,2074.0,050;076;152;376;410;484;586;600;604;608;788;792;818;858;688
Russian Federation - Azerbaijan,1993.0,2012.0,031;643
Russian Federation - Serbia,2006.0,2007.0,643;688
Russian Federation - Turkmenistan,1993.0,1993.0,643;795
Russian Federation - Uzbekistan,1993.0,1993.0,643;860
Singapore - Australia,2003.0,2003.0,036;702
Singapore - Chinese Taipei,2014.0,2028.0,158;702
South Asian Free Trade Agreement (SAFTA),2006.0,2016.0,004;050;064;144;356;462;524;586
South Asian Free Trade Agreement (SAFTA) - Accession of  Afghanistan,2011.0,2030.0,004;050;064;144;356;462;524;586
South Asian Preferential Trade Arrangement (SAPTA),1995.0,2015.0,050;064;144;356;462;524;586
South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA),1981.0,1981.0,036;090;184;242;296;520;548;554;570;583;584;598;776;798;882
Southern African Customs Union (SACU),2004.0,2004.0,072;426;516;710;748
Southern African Development Community (SADC) - Accession of Seychelles,2015.0,2026.0,072;426;450;454;480;508;516;690;710;716;748;834;894
Southern Common Market (MERCOSUR),1991.0,2015.0,032;076;600;858
Southern Common Market (MERCOSUR) - Egypt,2017.0,2026.0,818;862
Southern Common Market (MERCOSUR) - India,2009.0,2009.0,356;032;076;600;858
Southern Common Market (MERCOSUR) - Israel,2009.0,2020.0,376;032;076;600;858
Southern Common Market (MERCOSUR) - Southern African Customs Union (SACU),2016.0,2016.0,862;072;426;516;710;748
Switzerland - China,2014.0,2028.0,156;756
Thailand - Australia,2005.0,2025.0,036;764
Thailand - New Zealand,2005.0,2020.0,554;764
Trans-Pacific Strategic Economic Partnership,2006.0,2017.0,096;152;554;702
Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),2012.0,2020.0,051;112;398;417;498;643;762;804
Türkiye - Albania,2008.0,2013.0,008;792
Türkiye - Bolivarian Republic of Venezuela,2020.0,2026.0,792;862
Türkiye - Bosnia and Herzegovina,2021.0,2021.0,070;792
Türkiye - Chile,2011.0,2017.0,152;792
Türkiye - Faeroe Islands,2017.0,2017.0,234;792
Türkiye - Georgia,2008.0,2008.0,268;792
Türkiye - Israel,1997.0,2000.0,376;792
Türkiye - Kosovo,2019.0,2028.0,792
Türkiye - Malaysia,2015.0,2023.0,458;792
Türkiye - Mauritius,2013.0,2022.0,480;792
"Türkiye - Moldova, Republic of",2016.0,2020.0,498;792
Türkiye - Montenegro,2010.0,2022.0,792;499
Türkiye - Morocco,2006.0,2015.0,504;792
Türkiye - North Macedonia,2000.0,2008.0,792;807
Türkiye - Palestine,2005.0,2005.0,275;792
Türkiye - Serbia,2010.0,2015.0,792;688
Türkiye - Singapore,2017.0,2027.0,702;792
Türkiye - Syria,2007.0,2018.0,760;792
Türkiye - Tunisia,2005.0,2014.0,788;792
Ukraine - Azerbaijan,1996.0,1996.0,031;804
Ukraine - Belarus,2006.0,2006.0,112;804
Ukraine - Israel,2021.0,2025.0,376;804
Ukraine - Kazakhstan,1998.0,1998.0,398;804
"Ukraine - Moldova, Republic of",2005.0,2008.0,498;804
Ukraine - Montenegro,2013.0,2013.0,804;499
Ukraine - North Macedonia,2001.0,2010.0,804;807
Ukraine - Tajikistan,2002.0,2002.0,762;804
Ukraine - Turkmenistan,1995.0,1995.0,795;804
Ukraine - Uzbekistan,1996.0,1996.0,804;860
United Kingdom - Albania,2021.0,2021.0,008;826
United Kingdom - Australia,2023.0,2035.0,036;826
United Kingdom - Cameroon,2021.0,2029.0,120;826
United Kingdom - Canada,2021.0,2024.0,124;826
United Kingdom - CARIFORUM States,2021.0,2033.0,028;044;052;084;212;214;308;328;332;388;659;662;670;740;780;826
United Kingdom - Central America,2021.0,2027.0,188;222;320;340;558;591;826
United Kingdom - Chile,2021.0,2021.0,152;826
"United Kingdom - Colombia, Ecuador and Peru",2021.0,2034.0,170;218;604;826
United Kingdom - Côte d'Ivoire,2021.0,2023.0,384;826
United Kingdom - Eastern and Southern Africa States,2021.0,2022.0,480;690;716;826
United Kingdom - Egypt,2021.0,2021.0,818;826
United Kingdom - Faeroe Islands,2021.0,2021.0,234;826
United Kingdom - Georgia,2021.0,2021.0,268;826
United Kingdom - Ghana,2021.0,2029.0,288;826
"United Kingdom - Iceland, Liechtenstein and Norway",2021.0,2025.0,352;438;578;826
United Kingdom - Israel,2021.0,2021.0,376;826
United Kingdom - Japan,2021.0,2038.0,392;826
United Kingdom - Jordan,2021.0,2021.0,400;826
United Kingdom - Kenya,2021.0,2046.0,404;826
"United Kingdom - Korea, Republic of",2021.0,2031.0,410;826
United Kingdom - Kosovo,2021.0,2025.0,826
United Kingdom - Lebanon,2021.0,2021.0,422;826
United Kingdom - Mexico,2021.0,2021.0,484;826
"United Kingdom - Moldova, Republic of",2021.0,2028.0,498;826
United Kingdom - Morocco,2021.0,2021.0,504;826
United Kingdom - New Zealand,2023.0,2038.0,554;826
United Kingdom - North Macedonia,2021.0,2021.0,807;826
United Kingdom - Pacific States,2021.0,2023.0,090;242;598;826;882
United Kingdom - Pacific States - Accession of Samoa,2021.0,2023.0,242;598;826;882
United Kingdom - Pacific States - Accession of Solomon Islands,2021.0,2023.0,090;242;598;826
United Kingdom - Palestine,2021.0,2021.0,275;826
United Kingdom - SACU and Mozambique,2021.0,2028.0,508;826;072;426;516;710;748
United Kingdom - Serbia,2021.0,2021.0,826;688
United Kingdom - Singapore,2021.0,2024.0,702;826
United Kingdom - Switzerland - Liechtenstein,2021.0,2021.0,438;756;826
United Kingdom - Tunisia,2021.0,2021.0,788;826
United Kingdom - Türkiye,2021.0,2021.0,792;826
United Kingdom - Ukraine,2021.0,2026.0,804;826
United Kingdom - Viet Nam,2021.0,2035.0,704;826
United States - Australia,2005.0,2023.0,036;840
United States - Bahrain,2006.0,2015.0,048;840
United States - Chile,2004.0,2016.0,152;840
United States - Colombia,2012.0,2030.0,170;840
United States - Israel,1985.0,1995.0,376;840
United States - Jordan ,2001.0,2010.0,400;840
United States - Morocco,2006.0,2030.0,504;840
United States - Oman,2009.0,2018.0,512;840
United States - Panama,2012.0,2031.0,591;840
United States - Peru,2009.0,2025.0,604;840
United States - Singapore,2004.0,2014.0,702;840
United States-Mexico-Canada Agreement (USMCA/CUSMA/T-MEC),2020.0,2038.0,124;484;840
West African Economic and Monetary Union (WAEMU),2000.0,2000.0,204;384;466;562;686;768;854
Canada - Ukraine,2017.0,2024.0,124;804
Common Economic Zone (CEZ),2004.0,2004.0,112;398;643
EFTA - Türkiye,1992.0,1996.0,792;352;438;578;756
El Salvador - Honduras - Chinese Taipei,2008.0,2027.0,158;340
Nicaragua - Chinese Taipei,2008.0,2022.0,158;558
Russian Federation - Belarus - Kazakhstan,1997.0,2015.0,112;398;643
Türkiye - Bosnia and Herzegovina,2003.0,2007.0,070;792
United Kingdom - Colombia,2021.0,2030.0,170;826
United Kingdom - Norway and Iceland,2021.0,2021.0,352;578;826
