uf,ano,pop,evento,total,total_vitima,regiao,total_rate,total_vitima_rate
AM,2020,4207714.0,Lesão corporal seguida de morte,0.0,19.0,Norte,0.0,0.4515516026041694
AM,2021,4269995.0,Lesão corporal seguida de morte,0.0,15.0,Norte,0.0,0.35128846755089876
AM,2022,4273733.0,Lesão corporal seguida de morte,0.0,36.0,Norte,0.0,0.8423549154802136
AM,2023,4277471.0,Lesão corporal seguida de morte,0.0,34.0,Norte,0.0,0.7948621977799499
AM,2024,4281209.0,Lesão corporal seguida de morte,0.0,24.0,Norte,0.0,0.5605893101691601
AM,2017,4063614.0,Roubo a instituição financeira,1.0,0.0,Norte,0.02460863654864857,0.0
AM,2018,4080611.0,Roubo a instituição financeira,3.0,0.0,Norte,0.07351840202361852,0.0
AM,2019,4144597.0,Roubo a instituição financeira,2.0,0.0,Norte,0.048255596382470956,0.0
AM,2020,4207714.0,Roubo a instituição financeira,0.0,0.0,Norte,0.0,0.0
AM,2021,4269995.0,Roubo a instituição financeira,1.0,0.0,Norte,0.02341923117005992,0.0
AM,2022,4273733.0,Roubo a instituição financeira,0.0,0.0,Norte,0.0,0.0
AM,2023,4277471.0,Roubo a instituição financeira,0.0,0.0,Norte,0.0,0.0
AM,2024,4281209.0,Roubo a instituição financeira,0.0,0.0,Norte,0.0,0.0
AM,2017,4063614.0,Roubo de carga,0.0,0.0,Norte,0.0,0.0
AM,2018,4080611.0,Roubo de carga,2.0,0.0,Norte,0.04901226801574569,0.0
AM,2019,4144597.0,Roubo de carga,8.0,0.0,Norte,0.19302238552988382,0.0
AM,2020,4207714.0,Roubo de carga,15.0,0.0,Norte,0.3564881073190811,0.0
AM,2021,4269995.0,Roubo de carga,19.0,0.0,Norte,0.4449653922311385,0.0
AM,2022,4273733.0,Roubo de carga,22.0,0.0,Norte,0.5147724483490195,0.0
AM,2023,4277471.0,Roubo de carga,22.0,0.0,Norte,0.5143225985634969,0.0
AM,2024,4281209.0,Roubo de carga,16.0,0.0,Norte,0.37372620677944013,0.0
AM,2017,4063614.0,Roubo de veículo,4465.0,0.0,Norte,109.87756218971585,0.0
AM,2018,4080611.0,Roubo de veículo,3124.0,0.0,Norte,76.55716264059475,0.0
AM,2019,4144597.0,Roubo de veículo,2505.0,0.0,Norte,60.44013446904488,0.0
AM,2020,4207714.0,Roubo de veículo,1928.0,0.0,Norte,45.82060472741256,0.0
AM,2021,4269995.0,Roubo de veículo,2341.0,0.0,Norte,54.82442016911027,0.0
AM,2022,4273733.0,Roubo de veículo,1419.0,0.0,Norte,33.20282291851176,0.0
AM,2023,4277471.0,Roubo de veículo,1205.0,0.0,Norte,28.17085142131881,0.0
AM,2024,4281209.0,Roubo de veículo,846.0,0.0,Norte,19.760773183462895,0.0
AM,2017,4063614.0,Roubo seguido de morte (latrocínio),0.0,77.0,Norte,0.0,1.8948650142459398
AM,2018,4080611.0,Roubo seguido de morte (latrocínio),0.0,56.0,Norte,0.0,1.3723435044408792
AM,2019,4144597.0,Roubo seguido de morte (latrocínio),0.0,47.0,Norte,0.0,1.1340065149880676
AM,2020,4207714.0,Roubo seguido de morte (latrocínio),0.0,46.0,Norte,0.0,1.0932301957785155
AM,2021,4269995.0,Roubo seguido de morte (latrocínio),0.0,69.0,Norte,0.0,1.6159269507341343
AM,2022,4273733.0,Roubo seguido de morte (latrocínio),0.0,56.0,Norte,0.0,1.3103298685247768
AM,2023,4277471.0,Roubo seguido de morte (latrocínio),0.0,36.0,Norte,0.0,0.8416187976493587
AM,2024,4281209.0,Roubo seguido de morte (latrocínio),0.0,24.0,Norte,0.0,0.5605893101691601
AM,2017,4063614.0,Tentativa de homicídio,0.0,326.0,Norte,0.0,8.022415514859432
AM,2018,4080611.0,Tentativa de homicídio,0.0,335.0,Norte,0.0,8.209554892637403
AM,2019,4144597.0,Tentativa de homicídio,0.0,304.0,Norte,0.0,7.334850650135586
AM,2020,4207714.0,Tentativa de homicídio,0.0,351.0,Norte,0.0,8.341821711266498
AM,2021,4269995.0,Tentativa de homicídio,0.0,272.0,Norte,0.0,6.370030878256297
AM,2022,4273733.0,Tentativa de homicídio,0.0,321.0,Norte,0.0,7.510997996365238
AM,2023,4277471.0,Tentativa de homicídio,0.0,243.0,Norte,0.0,5.6809268841331715
AM,2024,4281209.0,Tentativa de homicídio,0.0,480.0,Norte,0.0,11.211786203383204
AP,2017,797722.0,Furto de veículo,721.0,0.0,Norte,90.38236378086602,0.0
AP,2018,829494.0,Furto de veículo,632.0,0.0,Norte,76.19102730098108,0.0
AP,2019,845731.0,Furto de veículo,768.0,0.0,Norte,90.80901610559386,0.0
AP,2020,861773.0,Furto de veículo,627.0,0.0,Norte,72.75697892600488,0.0
AP,2021,877613.0,Furto de veículo,479.0,0.0,Norte,54.579866068529064,0.0
AP,2022,852687.6666666666,Furto de veículo,491.0,0.0,Norte,57.58263185855861,0.0
AP,2023,827762.3333333334,Furto de veículo,280.0,0.0,Norte,33.82613447418683,0.0
AP,2024,802837.0,Furto de veículo,381.0,0.0,Norte,47.45670665402815,0.0
AP,2017,797722.0,Homicídio doloso,0.0,265.0,Norte,0.0,33.21959279047087
AP,2018,829494.0,Homicídio doloso,0.0,298.0,Norte,0.0,35.92551603748791
AP,2019,845731.0,Homicídio doloso,0.0,225.0,Norte,0.0,26.604203937185698
AP,2020,861773.0,Homicídio doloso,0.0,234.0,Norte,0.0,27.15332227860469
AP,2021,877613.0,Homicídio doloso,0.0,271.0,Norte,0.0,30.879214414554024
AP,2022,852687.6666666666,Homicídio doloso,0.0,190.0,Norte,0.0,22.282484833250784
AP,2023,827762.3333333334,Homicídio doloso,0.0,303.0,Norte,0.0,36.604709805995036
AP,2024,802837.0,Homicídio doloso,0.0,216.0,Norte,0.0,26.904589599134074
AP,2017,797722.0,Lesão corporal seguida de morte,0.0,22.0,Norte,0.0,2.757852986378713
AP,2018,829494.0,Lesão corporal seguida de morte,0.0,37.0,Norte,0.0,4.460550648949842
AP,2019,845731.0,Lesão corporal seguida de morte,0.0,19.0,Norte,0.0,2.2465772213623483
AP,2020,861773.0,Lesão corporal seguida de morte,0.0,14.0,Norte,0.0,1.6245577431643832
