,CZ,agi,returns,bracket_min,bracket_max,year,state,agi_sum,returns_sum
193,2400.0,3179704.0,183129.0,25000,49999,2006,VA,38764352.0,839146.0
194,2400.0,7813214.0,215893.0,50000,74999,2006,VA,38764352.0,839146.0
195,2400.0,7428495.0,120419.0,75000,99999,2006,VA,38764352.0,839146.0
196,2400.0,6999168.0,80827.0,100000,199999,2006,VA,38764352.0,839146.0
197,2400.0,12868083.0,96404.0,200000,10000000000000000,2006,VA,38764352.0,839146.0
198,2500.0,192938.0,43456.0,1,24999,2006,VA,10042997.0,254800.0
199,2500.0,1203444.0,69026.0,25000,49999,2006,VA,10042997.0,254800.0
200,2500.0,2476828.0,69009.0,50000,74999,2006,VA,10042997.0,254800.0
201,2500.0,2210290.0,35965.0,75000,99999,2006,VA,10042997.0,254800.0
202,2500.0,1776944.0,20500.0,100000,199999,2006,VA,10042997.0,254800.0
203,2500.0,2182553.0,16844.0,200000,10000000000000000,2006,VA,10042997.0,254800.0
204,2600.0,50866.0,13044.0,1,24999,2006,NC,1913610.0,61644.0
205,2600.0,365274.0,21187.0,25000,49999,2006,NC,1913610.0,61644.0
206,2600.0,561023.0,15970.0,50000,74999,2006,NC,1913610.0,61644.0
207,2600.0,387930.0,6336.0,75000,99999,2006,NC,1913610.0,61644.0
208,2600.0,258875.0,2990.0,100000,199999,2006,NC,1913610.0,61644.0
209,2600.0,289642.0,2117.0,200000,10000000000000000,2006,NC,1913610.0,61644.0
210,2700.0,-213620.0,60881.0,1,24999,2006,MS,9452844.0,277863.0
211,2700.0,1320330.0,77952.0,25000,49999,2006,MS,9452844.0,277863.0
212,2700.0,2435305.0,67614.0,50000,74999,2006,MS,9452844.0,277863.0
213,2700.0,2242631.0,36499.0,75000,99999,2006,MS,9452844.0,277863.0
214,2700.0,1660434.0,19297.0,100000,199999,2006,MS,9452844.0,277863.0
215,2700.0,2007764.0,15620.0,200000,10000000000000000,2006,MS,9452844.0,277863.0
216,2800.0,78800.0,32199.0,1,24999,2006,MS,4890008.0,149130.0
217,2800.0,796619.0,46811.0,25000,49999,2006,MS,4890008.0,149130.0
218,2800.0,1334853.0,37387.0,50000,74999,2006,MS,4890008.0,149130.0
219,2800.0,1066801.0,17411.0,75000,99999,2006,MS,4890008.0,149130.0
220,2800.0,743596.0,8645.0,100000,199999,2006,MS,4890008.0,149130.0
221,2800.0,869339.0,6677.0,200000,10000000000000000,2006,MS,4890008.0,149130.0
222,2900.0,109242.0,44330.0,1,24999,2006,MS,6532343.0,193679.0
223,2900.0,1008336.0,59891.0,25000,49999,2006,MS,6532343.0,193679.0
224,2900.0,1589614.0,44400.0,50000,74999,2006,MS,6532343.0,193679.0
225,2900.0,1349278.0,22038.0,75000,99999,2006,MS,6532343.0,193679.0
226,2900.0,1043619.0,12105.0,100000,199999,2006,MS,6532343.0,193679.0
227,2900.0,1432254.0,10915.0,200000,10000000000000000,2006,MS,6532343.0,193679.0
228,3001.0,22057.0,6494.0,1,24999,2006,MS,783504.0,28252.0
229,3001.0,183026.0,10851.0,25000,49999,2006,MS,783504.0,28252.0
230,3001.0,230228.0,6559.0,50000,74999,2006,MS,783504.0,28252.0
231,3001.0,149031.0,2452.0,75000,99999,2006,MS,783504.0,28252.0
232,3001.0,95881.0,1102.0,100000,199999,2006,MS,783504.0,28252.0
233,3001.0,103281.0,794.0,200000,10000000000000000,2006,MS,783504.0,28252.0
234,3002.0,17304.0,7269.0,1,24999,2006,MS,721989.0,27022.0
235,3002.0,169538.0,10126.0,25000,49999,2006,MS,721989.0,27022.0
236,3002.0,195595.0,5630.0,50000,74999,2006,MS,721989.0,27022.0
237,3002.0,128438.0,2082.0,75000,99999,2006,MS,721989.0,27022.0
238,3002.0,91872.0,1045.0,100000,199999,2006,MS,721989.0,27022.0
239,3002.0,119242.0,870.0,200000,10000000000000000,2006,MS,721989.0,27022.0
240,3003.0,190814.0,73632.0,1,24999,2006,MS,12251370.0,353706.0
241,3003.0,1893383.0,111375.0,25000,49999,2006,MS,12251370.0,353706.0
242,3003.0,3039361.0,85373.0,50000,74999,2006,MS,12251370.0,353706.0
243,3003.0,2460456.0,40115.0,75000,99999,2006,MS,12251370.0,353706.0
244,3003.0,1946926.0,22516.0,100000,199999,2006,MS,12251370.0,353706.0
245,3003.0,2720430.0,20695.0,200000,10000000000000000,2006,MS,12251370.0,353706.0
246,3101.0,57718.0,20744.0,1,24999,2006,MS,2818818.0,92138.0
247,3101.0,538285.0,32583.0,25000,49999,2006,MS,2818818.0,92138.0
248,3101.0,745871.0,20889.0,50000,74999,2006,MS,2818818.0,92138.0
249,3101.0,595690.0,9716.0,75000,99999,2006,MS,2818818.0,92138.0
250,3101.0,392513.0,4557.0,100000,199999,2006,MS,2818818.0,92138.0
251,3101.0,488741.0,3649.0,200000,10000000000000000,2006,MS,2818818.0,92138.0
252,3102.0,20251.0,9369.0,1,24999,2006,MS,1439674.0,42481.0
253,3102.0,219857.0,13000.0,25000,49999,2006,MS,1439674.0,42481.0
254,3102.0,358153.0,10001.0,50000,74999,2006,MS,1439674.0,42481.0
255,3102.0,321563.0,5238.0,75000,99999,2006,MS,1439674.0,42481.0
256,3102.0,236696.0,2744.0,100000,199999,2006,MS,1439674.0,42481.0
257,3102.0,283154.0,2129.0,200000,10000000000000000,2006,MS,1439674.0,42481.0
258,3201.0,9644.0,3804.0,1,24999,2006,LA,661257.0,18392.0
259,3201.0,88036.0,5267.0,25000,49999,2006,LA,661257.0,18392.0
260,3201.0,159668.0,4424.0,50000,74999,2006,LA,661257.0,18392.0
261,3201.0,160817.0,2631.0,75000,99999,2006,LA,661257.0,18392.0
262,3201.0,110341.0,1280.0,100000,199999,2006,LA,661257.0,18392.0
263,3201.0,132751.0,986.0,200000,10000000000000000,2006,LA,661257.0,18392.0
264,3202.0,32179.0,11692.0,1,24999,2006,MS,1472286.0,48806.0
265,3202.0,275446.0,16569.0,25000,49999,2006,MS,1472286.0,48806.0
266,3202.0,397164.0,11228.0,50000,74999,2006,MS,1472286.0,48806.0
267,3202.0,302068.0,4957.0,75000,99999,2006,MS,1472286.0,48806.0
