PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,ano,municipio_codigo,cargo_codigo,partido_codigo,coligacao,latitude,longitude,pobres,idhm,rendapercapita,populacao,estado,municipio,cargo,tipo,partido,coligacao_nome,coligacao_partidos,codigo_ibge,candidaturas_mun
0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,2016,7684,11,,1,-3.6577101,-45.211399,45.84,.56900001,216.25,12231,MA,IGARAPÉ DO MEIO,PREFEITO,COLIGACAO,PDT,JUNTOS POR IGARAPE DO MEIO,PDT / PT / PR / PPS / PSL / PRTB / PMN / PRP / PEN / PSD / PCdoB,,2
1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,2016,7692,11,,1,-4.1344199,-44.124401,49.57,.57599998,237.3,59053,MA,COROATÁ,PREFEITO,COLIGACAO,PMDB,COROATA COM A FORÇA DE TODOS,PMDB / PP / PTB / PTN / PSC / PR / DEM / PSDC / PRTB / PV / PTdoB / PROS / PRP,,3
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7692,11,55,0,-4.1344199,-44.124401,49.57,.57599998,237.3,59053,MA,COROATÁ,PREFEITO,PARTIDO ISOLADO,PSD,#NULO#,PSD,2103604,3
0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2016,7692,11,,1,-4.1344199,-44.124401,49.57,.57599998,237.3,59053,MA,COROATÁ,PREFEITO,COLIGACAO,PT,COROATÁ QUER MUDANÇA,PT / PSB / PHS / PRB / PDT / REDE / SD / PPS / PTC / PSDB / PCdoB / PMN,,3
0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,7706,11,,1,-5.14252,-45.787701,64.209999,.51800001,136.77,13179,MA,ITAIPAVA DO GRAJAÚ,PREFEITO,COLIGACAO,PSDB,O PROGRESSO CONTINUA - I,PSDB / PTB / PSB / PT / PMN / PPS / PR,,4
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,7706,11,,1,-5.14252,-45.787701,64.209999,.51800001,136.77,13179,MA,ITAIPAVA DO GRAJAÚ,PREFEITO,COLIGACAO,PRB,DESENVOLVER COM SEU POVO NO PODER I,PRB / PSDC / SD / PTdoB / PRTB,,4
0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,2016,7706,11,,1,-5.14252,-45.787701,64.209999,.51800001,136.77,13179,MA,ITAIPAVA DO GRAJAÚ,PREFEITO,COLIGACAO,PSDB,O PROGRESSO CONTINUA,PSDB / PCdoB / PDT / PT / PTB / PSC / PR / PPS / PROS / PMN / PV / PSB / PRP / DEM,,4
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7706,11,,1,-5.14252,-45.787701,64.209999,.51800001,136.77,13179,MA,ITAIPAVA DO GRAJAÚ,PREFEITO,COLIGACAO,PSD,UMA NOVA HISTORIA,PSD / PEN,,4
1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2016,7714,11,,1,-1.81475,-44.864399,44.540001,.61199999,274.39001,31418,MA,CURURUPU,PREFEITO,COLIGACAO,PRB,CURURUPU NO RUMO CERTO,PRB / PP / PDT / PTB / PMDB / PSL / PPS / PHS / PSB / PSD / PTdoB,,2
0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2016,7714,11,,1,-1.81475,-44.864399,44.540001,.61199999,274.39001,31418,MA,CURURUPU,PREFEITO,COLIGACAO,PT,UNIDOS PELA RECONSTRUÇAO,PT / PTN / PR / DEM / PV / PSDB / PCdoB / PEN / PPL / PROS,,2
0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,2016,7722,11,,1,-4.45293,-47.523499,32.080002,.63,336.91,24392,MA,ITINGA DO MARANHÃO,PREFEITO,COLIGACAO,PSDB,ITINGA DE TODOS NÓS,PSDB / DEM / PMB / PPS / PCdoB / PSDC / SD / PRP / PSC / PSB / PRB / REDE / PMN,,2
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2016,7722,11,,1,-4.45293,-47.523499,32.080002,.63,336.91,24392,MA,ITINGA DO MARANHÃO,PREFEITO,COLIGACAO,PTC,"COMPROMISSO, HONESTIDADE E FÉ: É ISSO O QUE O POVO QUER",PTC / PHS / PROS / PEN / PP / PT,,2
0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2016,7730,11,,1,-5.0351801,-44.440899,33.560001,.62199998,298.32999,22233,MA,DOM PEDRO,PREFEITO,COLIGACAO,PSC,UNIDOS POR DOM PEDRO,PSC / PSD / PSDC / PRB / PT / PHS / PMN,,2
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016,7730,11,,1,-5.0351801,-44.440899,33.560001,.62199998,298.32999,22233,MA,DOM PEDRO,PREFEITO,COLIGACAO,PCdoB,DOM PEDRO PARA TODOS,PCdoB / PDT / PSDB / PROS,,2
